"user_primary_key","video_min_date","video_max_date","video_days","video_use_time","video_n_life","video_kind_life","vido_n_finish","video_n_school","video_repeat_rate","video_finish_rate","video_school_rate","video_finish_time","video_kind_finish","video_finish_school","video_f_time_mean","video_f_repeat_rate","video_f_school_rate","video_use_time_s1","video_n_s1","video_kind_s1","video_finish_time_s1","video_finish_s1","video_kind_finish_s1","video_finish_time_mean_s1","video_use_time_s2","video_n_s2","video_kind_s2","video_finish_time_s2","video_finish_s2","video_kind_finish_s2","video_finish_time_mean_s2"
"-2230289989129547018",2014-06-06,2014-06-06,0,749,3,3,1,0,1,0.333,0,287,1,0,287,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2231297819754211536",2015-09-09,2015-10-28,49,2918,18,17,17,18,0.944,0.944,1,2909,16,17,171.118,0.941,1,NA,NA,NA,NA,NA,NA,NA,2918,18,17,2909,17,16,171.117647058824
"-2240723241408424146",2014-12-02,2014-12-02,0,5,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2242298223436131502",2015-10-15,2015-10-15,0,64,1,1,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,1,1,NA,NA,NA,NA
"-2245212967185326953",2015-09-03,2015-09-03,0,15,2,2,0,2,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,2,2,NA,NA,NA,NA
"-2250478604291827261",2015-02-02,2015-02-02,0,240,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-225099519040393875",2014-09-02,2014-09-02,0,211,3,3,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2268585849951730725",2014-05-26,2014-05-26,0,436,3,3,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2279837599088069279",2014-06-17,2015-04-11,298,1333,13,13,3,0,1,0.231,0,633,3,0,211,1,0,78,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2282555196114512822",2015-10-16,2015-10-16,0,13,2,2,0,2,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,2,2,NA,NA,NA,NA
"-228496905335451941",2015-09-07,2015-09-07,0,8,1,1,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,1,NA,NA,NA,NA
"-2285242662146292938",2015-03-12,2015-06-08,88,10863,42,36,28,7,0.857,0.667,0.167,9326,25,4,333.071,0.893,0.143,4759,20,15,3889,14,11,277.785714285714,NA,NA,NA,NA,NA,NA,NA
"-2291922901595995750",2015-03-02,2015-03-02,0,398,1,1,1,0,1,1,0,398,1,0,398,1,0,398,1,1,398,1,1,398,NA,NA,NA,NA,NA,NA,NA
"-2313923947113127183",2015-09-11,2015-10-11,30,962,5,5,3,2,1,0.6,0.4,913,3,0,304.333,1,0,NA,NA,NA,NA,NA,NA,NA,962,5,5,913,3,3,304.333333333333
"-231606574468519622",2015-09-24,2015-10-22,28,1229,8,7,6,5,0.875,0.75,0.625,1038,6,4,173,1,0.667,NA,NA,NA,NA,NA,NA,NA,1229,8,7,1038,6,6,173
"-2318354152219081356",2014-11-20,2015-05-15,176,3000,15,13,4,0,0.867,0.267,0,1157,4,0,289.25,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2320187617399390509",2015-10-05,2015-10-26,21,216,2,2,1,2,1,0.5,1,181,1,1,181,1,1,NA,NA,NA,NA,NA,NA,NA,216,2,2,181,1,1,181
"-2322860496055891434",2015-03-04,2015-10-20,230,27456,140,124,117,14,0.886,0.836,0.1,24675,111,12,210.897,0.949,0.103,5504,28,26,4010,18,17,222.777777777778,17222,98,89,16205,87,85,186.264367816092
"-2329263897978317598",2015-03-26,2015-03-26,0,18,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,18,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2337078897908601774",2014-11-24,2014-11-24,0,5,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2349591763733074513",2014-05-30,2015-09-20,478,2358,11,8,7,3,0.727,0.636,0.273,2002,7,1,286,1,0.143,NA,NA,NA,NA,NA,NA,NA,2208,10,7,2002,7,7,286
"-2352922237349720209",2015-09-23,2015-09-23,0,1838,4,4,2,4,1,0.5,1,883,2,2,441.5,1,1,NA,NA,NA,NA,NA,NA,NA,1838,4,4,883,2,2,441.5
"-2376817954090731813",2015-02-24,2015-02-24,0,835,5,5,2,0,1,0.4,0,354,2,0,177,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2378772487308581181",2015-09-24,2015-10-23,29,768,4,3,3,1,0.75,0.75,0.25,640,3,0,213.333,1,0,NA,NA,NA,NA,NA,NA,NA,768,4,3,640,3,3,213.333333333333
"-240097391338009312",2014-11-17,2014-11-17,0,36,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2403278603587602336",2015-02-02,2015-10-07,247,37458,152,116,128,0,0.763,0.842,0,34430,96,0,268.984,0.75,0,5948,28,28,5668,24,24,236.166666666667,5988,22,20,5873,21,20,279.666666666667
"-241482343494335134",2015-05-07,2015-05-07,0,572,14,14,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2424349343263341276",2014-06-29,2014-06-29,0,452,1,1,1,0,1,1,0,452,1,0,452,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-242773867832010169",2014-12-07,2015-10-27,324,107178,369,355,350,1,0.962,0.949,0.003,102471,343,1,292.774,0.98,0.003,2942,6,6,2942,6,6,490.333333333333,491,1,1,491,1,1,491
"-2432926654296465326",2015-03-02,2015-10-13,225,655,8,7,3,4,0.875,0.375,0.5,467,3,3,155.667,1,1,130,4,3,NA,NA,NA,NA,525,4,4,467,3,3,155.666666666667
