user_primary_key_hash,pre_exam,post_exam
692055015361907273,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6927858381465618331,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
6927958745472398558,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
6934105725884626188,2015-05-25 18:07:41.08952 UTC,2015-10-30 09:04:24.15186 UTC
6938484296514641189,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6939085792829127150,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
6941176731942212575,2015-04-24 18:03:16.57849 UTC,2015-10-30 09:00:20.56732 UTC
6947930172991254906,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6951961709519611921,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
695224945141214484,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
695436165897767669,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
695734724353710012,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
695888748790735791,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6964202268273180956,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6965510731339698031,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6966218289951658719,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6969940364483582784,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
6972311167679232243,2015-04-24 07:46:45.63111 UTC,2015-10-30 09:01:24.40038 UTC
6979485120962794926,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6980803696159165433,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6984963066112407338,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
6988071603779408397,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
6988223553668455460,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
6988573241914503606,2015-05-25 18:07:41.08952 UTC,2015-10-30 09:04:24.15186 UTC
6990015386243657419,2015-04-24 07:46:45.63111 UTC,2015-10-30 09:01:24.40038 UTC
699076439432116159,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6999569888560662017,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
7000655013397610558,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
7003112737261161520,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
7009434583733430164,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
7009652240353435908,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
7011729642778353436,2015-04-24 18:13:00.26311 UTC,2015-10-30 09:08:06.65825 UTC
7013339874006183552,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
7015792877272345575,2015-04-24 18:13:00.26311 UTC,2015-10-30 09:08:06.65825 UTC
7017616563292352931,2015-04-24 18:13:00.26311 UTC,2015-10-30 09:08:06.65825 UTC
